Package,Class,Method Name,Descriptor
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ColumnDescriptor,getAccessMode,()Lorg/exolab/castor/mapping/AccessMode;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ColumnDescriptor,getNameSpacePrefix,()Ljava/lang/String;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ColumnDescriptor,getNameSpaceURI,()Ljava/lang/String;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ColumnDescriptor,isElementDefinition,()Z
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.PrimaryKeyDescriptor,getAccessMode,()Lorg/exolab/castor/mapping/AccessMode;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.PrimaryKeyDescriptor,getIdentity,()Lorg/exolab/castor/mapping/FieldDescriptor;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.PrimaryKeyDescriptor,getNameSpacePrefix,()Ljava/lang/String;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.PrimaryKeyDescriptor,getNameSpaceURI,()Ljava/lang/String;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.PrimaryKeyDescriptor,isElementDefinition,()Z
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ReadonlyDirtyTypeDescriptor,getAccessMode,()Lorg/exolab/castor/mapping/AccessMode;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ReadonlyDirtyTypeDescriptor,getNameSpacePrefix,()Ljava/lang/String;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ReadonlyDirtyTypeDescriptor,getNameSpaceURI,()Ljava/lang/String;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ReadonlyDirtyTypeDescriptor,getValidator,()Lorg/exolab/castor/xml/TypeValidator;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ReadonlyDirtyTypeDescriptor,isElementDefinition,()Z
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.OneToOneDescriptor,getAccessMode,()Lorg/exolab/castor/mapping/AccessMode;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.OneToOneDescriptor,getNameSpacePrefix,()Ljava/lang/String;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.OneToOneDescriptor,getNameSpaceURI,()Ljava/lang/String;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.OneToOneDescriptor,isElementDefinition,()Z
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ManyToManyDescriptor,getAccessMode,()Lorg/exolab/castor/mapping/AccessMode;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ManyToManyDescriptor,getIdentity,()Lorg/exolab/castor/mapping/FieldDescriptor;
org.exolab.castor.xml.schema.annotations.jdo.descriptors,org.exolab.castor.xml.schema.annotations.jdo.descriptors.ManyToManyDescriptor,getJavaClass,()Ljava/lang/Class;
