Package,Class,Method Name,Descriptor
org.apache.commons.math3.optimization.univariate,org.apache.commons.math3.optimization.univariate.BracketFinder,getMaxEvaluations,()I
org.apache.commons.math3.optimization.univariate,org.apache.commons.math3.optimization.univariate.BracketFinder,getEvaluations,()I
org.apache.commons.math3.optimization.univariate,org.apache.commons.math3.optimization.univariate.BracketFinder,getFLo,()D
org.apache.commons.math3.optimization.univariate,org.apache.commons.math3.optimization.univariate.BracketFinder,getFHi,()D
org.apache.commons.math3.optimization.univariate,org.apache.commons.math3.optimization.univariate.BracketFinder,getFMid,()D
org.apache.commons.math3.optimization.univariate,org.apache.commons.math3.optimization.univariate.UnivariateMultiStartOptimizer,getConvergenceChecker,()Lorg/apache/commons/math3/optimization/ConvergenceChecker;
org.apache.commons.math3.optimization.univariate,org.apache.commons.math3.optimization.univariate.UnivariateMultiStartOptimizer,getMaxEvaluations,()I
org.apache.commons.math3.stat.regression,org.apache.commons.math3.stat.regression.GLSMultipleLinearRegression,calculateErrorVariance,()D
org.apache.commons.math3.stat.regression,org.apache.commons.math3.stat.regression.SimpleRegression,addObservations,([[D[D)V
org.apache.commons.math3.stat.regression,org.apache.commons.math3.stat.regression.SimpleRegression,hasIntercept,()Z
org.apache.commons.math3.stat.regression,org.apache.commons.math3.stat.regression.MillerUpdatingRegression,getOrderOfRegressors,()[I
org.apache.commons.math3.stat.regression,org.apache.commons.math3.stat.regression.AbstractMultipleLinearRegression,estimateRegressandVariance,()D
org.apache.commons.math3.stat.regression,org.apache.commons.math3.stat.regression.RegressionResults,getNumberOfParameters,()I
org.apache.commons.math3.stat.regression,org.apache.commons.math3.stat.regression.RegressionResults,getTotalSumSquares,()D
org.apache.commons.math3.stat.regression,org.apache.commons.math3.stat.regression.RegressionResults,hasIntercept,()Z
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.Vector1D,dotProduct,(Lorg/apache/commons/math3/geometry/Vector;)D
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.Interval,getLower,()D
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.Interval,getUpper,()D
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.Interval,getLength,()D
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.Interval,getMidPoint,()D
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.SubOrientedPoint,getSize,()D
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.OrientedPoint,getOffset,(Lorg/apache/commons/math3/geometry/Vector;)D
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.OrientedPoint,wholeSpace,()Lorg/apache/commons/math3/geometry/euclidean/oned/IntervalsSet;
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.OrientedPoint,project,(Lorg/apache/commons/math3/geometry/Point;)Lorg/apache/commons/math3/geometry/Point;
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.OrientedPoint,getTolerance,()D
org.apache.commons.math3.geometry.euclidean.oned,org.apache.commons.math3.geometry.euclidean.oned.OrientedPoint,revertSelf,()V
org.apache.commons.math3.optimization.linear,org.apache.commons.math3.optimization.linear.LinearConstraint,hashCode,()I
org.apache.commons.math3.optimization.linear,org.apache.commons.math3.optimization.linear.SimplexTableau,setEntry,(IID)V
org.apache.commons.math3.optimization.linear,org.apache.commons.math3.optimization.linear.SimplexTableau,getNumDecisionVariables,()I
org.apache.commons.math3.optimization.linear,org.apache.commons.math3.optimization.linear.SimplexTableau,hashCode,()I
