Package,Class,Method Name,Descriptor
,jjtree,main,([Ljava/lang/String;)V
,javacc,main,([Ljava/lang/String;)V
,JavaCCInterpreter,main,([Ljava/lang/String;)V
,JavaCCInterpreter,runTokenizer,(Ljava/lang/String;Ljava/lang/String;)V
,JavaCCInterpreter,tokenize,(Lorg/javacc/parser/TokenizerData;Ljava/lang/String;)V
,jjdoc,main,([Ljava/lang/String;)V
org.javacc.jjdoc,org.javacc.jjdoc.HTMLGenerator,javacode,(Lorg/javacc/parser/JavaCodeProduction;)V
org.javacc.jjdoc,org.javacc.jjdoc.HTMLGenerator,cppcode,(Lorg/javacc/parser/CppCodeProduction;)V
org.javacc.jjdoc,org.javacc.jjdoc.JJDocMain,help_message,()V
org.javacc.jjdoc,org.javacc.jjdoc.JJDocMain,main,([Ljava/lang/String;)V
org.javacc.jjdoc,org.javacc.jjdoc.JJDocGlobals,setGenerator,(Lorg/javacc/jjdoc/Generator;)V
org.javacc.jjdoc,org.javacc.jjdoc.JJDocGlobals,debug,(Ljava/lang/String;)V
org.javacc.jjdoc,org.javacc.jjdoc.JJDocGlobals,error,(Ljava/lang/String;)V
org.javacc.jjdoc,org.javacc.jjdoc.TextGenerator,javacode,(Lorg/javacc/parser/JavaCodeProduction;)V
org.javacc.jjdoc,org.javacc.jjdoc.TextGenerator,cppcode,(Lorg/javacc/parser/CppCodeProduction;)V
org.javacc.jjdoc,org.javacc.jjdoc.TextGenerator,debug,(Ljava/lang/String;)V
org.javacc.jjdoc,org.javacc.jjdoc.TextGenerator,warn,(Ljava/lang/String;)V
org.javacc.jjdoc,org.javacc.jjdoc.XTextGenerator,handleTokenProduction,(Lorg/javacc/parser/TokenProduction;)V
org.javacc.jjdoc,org.javacc.jjdoc.XTextGenerator,get_id,(Ljava/lang/String;)Ljava/lang/String;
org.javacc.jjdoc,org.javacc.jjdoc.XTextGenerator,println,(Ljava/lang/String;)V
org.javacc.jjdoc,org.javacc.jjdoc.XTextGenerator,text,(Ljava/lang/String;)V
