Package,Class,Method Name,Descriptor
org.jfree.chart.plot,org.jfree.chart.plot.PieLabelRecord,getBaseY,()D
org.jfree.chart.plot,org.jfree.chart.plot.PieLabelRecord,setBaseY,(D)V
org.jfree.chart.plot,org.jfree.chart.plot.PieLabelRecord,getKey,()Ljava/lang/Comparable;
org.jfree.chart.plot,org.jfree.chart.plot.PieLabelRecord,toString,()Ljava/lang/String;
org.jfree.chart.plot,org.jfree.chart.plot.ContourPlotUtilities,visibleRange,(Lorg/jfree/data/contour/ContourDataset;Lorg/jfree/data/Range;Lorg/jfree/data/Range;)Lorg/jfree/data/Range;
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,getSeparatorsVisible,()Z
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,getSeparatorStroke,()Ljava/awt/Stroke;
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,getSeparatorPaint,()Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,getInnerSeparatorExtension,()D
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,getOuterSeparatorExtension,()D
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,getSectionDepth,()D
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,initialise,(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/PiePlot;Ljava/lang/Integer;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/plot/PiePlotState;
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,drawItem,(Ljava/awt/Graphics2D;ILjava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/PiePlotState;I)V
org.jfree.chart.plot,org.jfree.chart.plot.RingPlot,extendLine,(Ljava/awt/geom/Line2D;DD)Ljava/awt/geom/Line2D;
org.jfree.chart.plot,org.jfree.chart.plot.PlotOrientation,hashCode,()I
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,getPlotType,()Ljava/lang/String;
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,getGap,()D
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,zoomRangeAxes,(DLorg/jfree/chart/plot/PlotRenderingInfo;Ljava/awt/geom/Point2D;)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,zoomRangeAxes,(DLorg/jfree/chart/plot/PlotRenderingInfo;Ljava/awt/geom/Point2D;Z)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,zoomRangeAxes,(DDLorg/jfree/chart/plot/PlotRenderingInfo;Ljava/awt/geom/Point2D;)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,findSubplot,(Lorg/jfree/chart/plot/PlotRenderingInfo;Ljava/awt/geom/Point2D;)Lorg/jfree/chart/plot/XYPlot;
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,setRenderer,(Lorg/jfree/chart/renderer/xy/XYItemRenderer;)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,setFixedRangeAxisSpace,(Lorg/jfree/chart/axis/AxisSpace;)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedDomainXYPlot,handleClick,(IILorg/jfree/chart/plot/PlotRenderingInfo;)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getPieIndex,()I
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getIgnoreNullValues,()Z
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getIgnoreZeroValues,()Z
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getSectionPaint,(Ljava/lang/Comparable;)Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getSectionOutlinesVisible,()Z
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getSectionOutlinePaint,(Ljava/lang/Comparable;)Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getBaseSectionOutlinePaint,()Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getSectionOutlineStroke,(Ljava/lang/Comparable;)Ljava/awt/Stroke;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getBaseSectionOutlineStroke,()Ljava/awt/Stroke;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getShadowPaint,()Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getShadowXOffset,()D
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getShadowYOffset,()D
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelLinksVisible,()Z
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelLinkPaint,()Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelLinkStroke,()Ljava/awt/Stroke;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelPaint,()Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelBackgroundPaint,()Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelOutlinePaint,()Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelOutlineStroke,()Ljava/awt/Stroke;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelShadowPaint,()Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelPadding,()Lorg/jfree/ui/RectangleInsets;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,setLabelPadding,(Lorg/jfree/ui/RectangleInsets;)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,setSimpleLabels,(Z)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getSimpleLabelOffset,()Lorg/jfree/ui/RectangleInsets;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,setSimpleLabelOffset,(Lorg/jfree/ui/RectangleInsets;)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLabelDistributor,()Lorg/jfree/chart/plot/AbstractPieLabelDistributor;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,setLabelDistributor,(Lorg/jfree/chart/plot/AbstractPieLabelDistributor;)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getToolTipGenerator,()Lorg/jfree/chart/labels/PieToolTipGenerator;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLegendLabelGenerator,()Lorg/jfree/chart/labels/PieSectionLabelGenerator;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getLegendLabelToolTipGenerator,()Lorg/jfree/chart/labels/PieSectionLabelGenerator;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,drawSimpleLabels,(Ljava/awt/Graphics2D;Ljava/util/List;DLjava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/PiePlotState;)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getPlotType,()Ljava/lang/String;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getSectionPaint,(I)Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,setSectionPaint,(ILjava/awt/Paint;)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getSectionOutlinePaint,(I)Ljava/awt/Paint;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,setSectionOutlinePaint,(ILjava/awt/Paint;)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getSectionOutlineStroke,(I)Ljava/awt/Stroke;
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,setSectionOutlineStroke,(ILjava/awt/Stroke;)V
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,getExplodePercent,(I)D
org.jfree.chart.plot,org.jfree.chart.plot.PiePlot,setExplodePercent,(ID)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedRangeXYPlot,getPlotType,()Ljava/lang/String;
org.jfree.chart.plot,org.jfree.chart.plot.CombinedRangeXYPlot,getGap,()D
org.jfree.chart.plot,org.jfree.chart.plot.CombinedRangeXYPlot,zoomDomainAxes,(DLorg/jfree/chart/plot/PlotRenderingInfo;Ljava/awt/geom/Point2D;)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedRangeXYPlot,zoomDomainAxes,(DLorg/jfree/chart/plot/PlotRenderingInfo;Ljava/awt/geom/Point2D;Z)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedRangeXYPlot,zoomDomainAxes,(DDLorg/jfree/chart/plot/PlotRenderingInfo;Ljava/awt/geom/Point2D;)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedRangeXYPlot,findSubplot,(Lorg/jfree/chart/plot/PlotRenderingInfo;Ljava/awt/geom/Point2D;)Lorg/jfree/chart/plot/XYPlot;
org.jfree.chart.plot,org.jfree.chart.plot.CombinedRangeXYPlot,setRenderer,(Lorg/jfree/chart/renderer/xy/XYItemRenderer;)V
org.jfree.chart.plot,org.jfree.chart.plot.CombinedRangeXYPlot,handleClick,(IILorg/jfree/chart/plot/PlotRenderingInfo;)V
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,getCrosshairDistance,()D
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,updateCrosshairPoint,(DDDDLorg/jfree/chart/plot/PlotOrientation;)V
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,updateCrosshairX,(D)V
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,updateCrosshairX,(DI)V
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,updateCrosshairY,(D)V
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,updateCrosshairY,(DI)V
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,getAnchor,()Ljava/awt/geom/Point2D;
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,getAnchorX,()D
org.jfree.chart.plot,org.jfree.chart.plot.CrosshairState,getAnchorY,()D
org.jfree.chart.plot,org.jfree.chart.plot.DialShape,hashCode,()I
org.jfree.chart.plot,org.jfree.chart.plot.PieLabelLinkStyle,hashCode,()I
org.jfree.chart.plot,org.jfree.chart.plot.JThermometer,addSubtitle,(Lorg/jfree/chart/title/Title;)V
org.jfree.chart.plot,org.jfree.chart.plot.JThermometer,addSubtitle,(Ljava/lang/String;)V
