Package,Class,Method Name,Descriptor
soot.grimp,soot.grimp.AbstractGrimpValueSwitch,caseNewInvokeExpr,(Lsoot/grimp/NewInvokeExpr;)V
soot.grimp,soot.grimp.Grimp,newXorExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/XorExpr;
soot.grimp,soot.grimp.Grimp,newUshrExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/UshrExpr;
soot.grimp,soot.grimp.Grimp,newSubExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/SubExpr;
soot.grimp,soot.grimp.Grimp,newShrExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/ShrExpr;
soot.grimp,soot.grimp.Grimp,newShlExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/ShlExpr;
soot.grimp,soot.grimp.Grimp,newOrExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/OrExpr;
soot.grimp,soot.grimp.Grimp,newNeExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/NeExpr;
soot.grimp,soot.grimp.Grimp,newLeExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/LeExpr;
soot.grimp,soot.grimp.Grimp,newGeExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/GeExpr;
soot.grimp,soot.grimp.Grimp,newCmplExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/CmplExpr;
soot.grimp,soot.grimp.Grimp,newCmpgExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/CmpgExpr;
soot.grimp,soot.grimp.Grimp,newCmpExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/CmpExpr;
soot.grimp,soot.grimp.Grimp,newGtExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/GtExpr;
soot.grimp,soot.grimp.Grimp,newLtExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/LtExpr;
soot.grimp,soot.grimp.Grimp,newAndExpr,(Lsoot/Value;Lsoot/Value;)Lsoot/jimple/AndExpr;
soot.grimp,soot.grimp.Grimp,newNegExpr,(Lsoot/Value;)Lsoot/jimple/NegExpr;
soot.grimp,soot.grimp.Grimp,newLengthExpr,(Lsoot/Value;)Lsoot/jimple/LengthExpr;
soot.grimp,soot.grimp.Grimp,newInstanceOfExpr,(Lsoot/Value;Lsoot/Type;)Lsoot/jimple/InstanceOfExpr;
soot.grimp,soot.grimp.Grimp,newNewExpr,(Lsoot/RefType;)Lsoot/jimple/NewExpr;
soot.grimp,soot.grimp.Grimp,newNewArrayExpr,(Lsoot/Type;Lsoot/Value;)Lsoot/jimple/NewArrayExpr;
soot.grimp,soot.grimp.Grimp,newNewMultiArrayExpr,(Lsoot/ArrayType;Ljava/util/List;)Lsoot/jimple/NewMultiArrayExpr;
soot.grimp,soot.grimp.Grimp,newSpecialInvokeExpr,(Lsoot/Local;Lsoot/SootMethodRef;Ljava/util/List;)Lsoot/jimple/SpecialInvokeExpr;
soot.grimp,soot.grimp.Grimp,newDynamicInvokeExpr,(Lsoot/SootMethodRef;Ljava/util/List;Lsoot/SootMethodRef;ILjava/util/List;)Lsoot/jimple/DynamicInvokeExpr;
soot.grimp,soot.grimp.Grimp,newInterfaceInvokeExpr,(Lsoot/Local;Lsoot/SootMethodRef;Ljava/util/List;)Lsoot/jimple/InterfaceInvokeExpr;
