Package,Class,Method Name
org/apache/commons/math3/optim/nonlinear/scalar/gradient,org/apache/commons/math3/optim/nonlinear/scalar/gradient/NonLinearConjugateGradientOptimizer$BracketingStep,getBracketingStep
org/apache/commons/math3/optimization/univariate,org/apache/commons/math3/optimization/univariate/BracketFinder,getMaxEvaluations
org/apache/commons/math3/optimization/univariate,org/apache/commons/math3/optimization/univariate/BracketFinder,getEvaluations
org/apache/commons/math3/optimization/univariate,org/apache/commons/math3/optimization/univariate/BracketFinder,getFLo
org/apache/commons/math3/optimization/univariate,org/apache/commons/math3/optimization/univariate/BracketFinder,getFHi
org/apache/commons/math3/optimization/univariate,org/apache/commons/math3/optimization/univariate/BracketFinder,getFMid
org/apache/commons/math3/optimization/univariate,org/apache/commons/math3/optimization/univariate/UnivariateMultiStartOptimizer,getConvergenceChecker
org/apache/commons/math3/optimization/univariate,org/apache/commons/math3/optimization/univariate/UnivariateMultiStartOptimizer,getMaxEvaluations
org/apache/commons/math3/stat/regression,org/apache/commons/math3/stat/regression/GLSMultipleLinearRegression,calculateErrorVariance
org/apache/commons/math3/stat/regression,org/apache/commons/math3/stat/regression/SimpleRegression,addObservations
org/apache/commons/math3/stat/regression,org/apache/commons/math3/stat/regression/SimpleRegression,hasIntercept
org/apache/commons/math3/stat/regression,org/apache/commons/math3/stat/regression/MillerUpdatingRegression,getOrderOfRegressors
org/apache/commons/math3/stat/regression,org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression,estimateRegressandVariance
org/apache/commons/math3/stat/regression,org/apache/commons/math3/stat/regression/RegressionResults,getNumberOfParameters
org/apache/commons/math3/stat/regression,org/apache/commons/math3/stat/regression/RegressionResults,getTotalSumSquares
org/apache/commons/math3/stat/regression,org/apache/commons/math3/stat/regression/RegressionResults,hasIntercept
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/Vector1D,dotProduct
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/Interval,getLower
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/Interval,getUpper
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/Interval,getLength
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/Interval,getMidPoint
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/SubOrientedPoint,getSize
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/IntervalsSet$SubIntervalsIterator,remove
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/OrientedPoint,getOffset
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/OrientedPoint,wholeSpace
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/OrientedPoint,project
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/OrientedPoint,getTolerance
org/apache/commons/math3/geometry/euclidean/oned,org/apache/commons/math3/geometry/euclidean/oned/OrientedPoint,revertSelf
org/apache/commons/math3/optimization/linear,org/apache/commons/math3/optimization/linear/LinearConstraint,hashCode
org/apache/commons/math3/optimization/linear,org/apache/commons/math3/optimization/linear/SimplexTableau,setEntry
org/apache/commons/math3/optimization/linear,org/apache/commons/math3/optimization/linear/SimplexTableau,getNumDecisionVariables
org/apache/commons/math3/optimization/linear,org/apache/commons/math3/optimization/linear/SimplexTableau,hashCode
org/apache/commons/math3/optimization/linear,org/apache/commons/math3/optimization/linear/Relationship,toString
org/apache/commons/math3/optimization/linear,org/apache/commons/math3/optimization/linear/LinearObjectiveFunction,getValue
org/apache/commons/math3/optimization/linear,org/apache/commons/math3/optimization/linear/LinearObjectiveFunction,hashCode
org/apache/commons/math3/util,org/apache/commons/math3/util/Incrementor$2,setMaximalCount
org/apache/commons/math3/util,org/apache/commons/math3/util/Incrementor$2,resetCount
org/apache/commons/math3/util,org/apache/commons/math3/util/Incrementor$2,incrementCount
org/apache/commons/math3/util,org/apache/commons/math3/util/Combinations$SingletonIterator,remove
org/apache/commons/math3/util,org/apache/commons/math3/util/CentralPivotingStrategy,pivotIndex
org/apache/commons/math3/util,org/apache/commons/math3/util/BigRealField,getRuntimeClass
org/apache/commons/math3/util,org/apache/commons/math3/util/FastMath,incrementExact
org/apache/commons/math3/util,org/apache/commons/math3/util/FastMath,decrementExact
org/apache/commons/math3/util,org/apache/commons/math3/util/FastMath,main
org/apache/commons/math3/util,org/apache/commons/math3/util/MultidimensionalCounter$Iterator,getCount
org/apache/commons/math3/util,org/apache/commons/math3/util/MultidimensionalCounter$Iterator,getCounts
org/apache/commons/math3/util,org/apache/commons/math3/util/MultidimensionalCounter$Iterator,remove
org/apache/commons/math3/util,org/apache/commons/math3/util/MathArrays,equals
org/apache/commons/math3/util,org/apache/commons/math3/util/MathArrays,equalsIncludingNaN
org/apache/commons/math3/util,org/apache/commons/math3/util/MathArrays,shuffle
org/apache/commons/math3/util,org/apache/commons/math3/util/MathArrays,shuffle
org/apache/commons/math3/util,org/apache/commons/math3/util/MathArrays,verifyValues
org/apache/commons/math3/util,org/apache/commons/math3/util/CombinatoricsUtils,combinationsIterator
org/apache/commons/math3/util,org/apache/commons/math3/util/IterationManager,getMaxIterations
org/apache/commons/math3/util,org/apache/commons/math3/util/IterationManager,removeIterationListener
org/apache/commons/math3/util,org/apache/commons/math3/util/RandomPivotingStrategy,pivotIndex
org/apache/commons/math3/util,org/apache/commons/math3/util/ContinuedFraction,evaluate
