Package,Class,Method Name,Descriptor
org.jsoup.parser,org.jsoup.parser.Parser,getTreeBuilder,()Lorg/jsoup/parser/TreeBuilder;
org.jsoup.parser,org.jsoup.parser.Parser,setTreeBuilder,(Lorg/jsoup/parser/TreeBuilder;)Lorg/jsoup/parser/Parser;
org.jsoup.parser,org.jsoup.parser.Parser,settings,()Lorg/jsoup/parser/ParseSettings;
org.jsoup.parser,org.jsoup.parser.Parser,parseBodyFragmentRelaxed,(Ljava/lang/String;Ljava/lang/String;)Lorg/jsoup/nodes/Document;
org.jsoup.parser,org.jsoup.parser.ParseErrorList,getMaxSize,()I
org.jsoup.parser,org.jsoup.parser.Tokeniser,emit,([C)V
org.jsoup.parser,org.jsoup.parser.Tokeniser,getState,()Lorg/jsoup/parser/TokeniserState;
org.jsoup.parser,org.jsoup.parser.Tokeniser,currentNodeInHtmlNS,()Z
org.jsoup.parser,org.jsoup.parser.Tag,canContainBlock,()Z
org.jsoup.parser,org.jsoup.parser.Tag,isData,()Z
org.jsoup.parser,org.jsoup.parser.Tag,isKnownTag,(Ljava/lang/String;)Z
org.jsoup.parser,org.jsoup.parser.Tag,hashCode,()I
org.jsoup.parser,org.jsoup.parser.Tag,toString,()Ljava/lang/String;
org.jsoup.parser,org.jsoup.parser.TokenQueue,peek,()C
org.jsoup.parser,org.jsoup.parser.TokenQueue,addFirst,(Ljava/lang/Character;)V
org.jsoup.parser,org.jsoup.parser.TokenQueue,matchesCS,(Ljava/lang/String;)Z
org.jsoup.parser,org.jsoup.parser.TokenQueue,matchesStartTag,()Z
org.jsoup.parser,org.jsoup.parser.TokenQueue,advance,()V
org.jsoup.parser,org.jsoup.parser.TokenQueue,consumeTagName,()Ljava/lang/String;
org.jsoup.parser,org.jsoup.parser.TokenQueue,consumeAttributeKey,()Ljava/lang/String;
org.jsoup.parser,org.jsoup.parser.TokenQueue,toString,()Ljava/lang/String;
org.jsoup.parser,org.jsoup.parser.HtmlTreeBuilder,push,(Lorg/jsoup/nodes/Element;)V
org.jsoup.parser,org.jsoup.parser.HtmlTreeBuilder,popStackToBefore,(Ljava/lang/String;)V
org.jsoup.parser,org.jsoup.parser.HtmlTreeBuilder,replaceOnStack,(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)V
org.jsoup.parser,org.jsoup.parser.HtmlTreeBuilder,replaceInQueue,(Ljava/util/ArrayList;Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)V
org.jsoup.parser,org.jsoup.parser.HtmlTreeBuilder,getHeadElement,()Lorg/jsoup/nodes/Element;
org.jsoup.parser,org.jsoup.parser.HtmlTreeBuilder,setPendingTableCharacters,(Ljava/util/List;)V
org.jsoup.parser,org.jsoup.parser.HtmlTreeBuilder,replaceActiveFormattingElement,(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)V
org.jsoup.parser,org.jsoup.parser.HtmlTreeBuilder,toString,()Ljava/lang/String;
org.jsoup.parser,org.jsoup.parser.ParseError,getErrorMessage,()Ljava/lang/String;
org.jsoup.parser,org.jsoup.parser.ParseError,getPosition,()I
org.jsoup.parser,org.jsoup.parser.CharacterReader,consumeAsString,()Ljava/lang/String;
org.jsoup.parser,org.jsoup.parser.CharacterReader,toString,()Ljava/lang/String;
org.jsoup.select,org.jsoup.select.Elements,toString,()Ljava/lang/String;
org.jsoup,org.jsoup.UnsupportedMimeTypeException,getMimeType,()Ljava/lang/String;
org.jsoup,org.jsoup.UnsupportedMimeTypeException,getUrl,()Ljava/lang/String;
org.jsoup,org.jsoup.UnsupportedMimeTypeException,toString,()Ljava/lang/String;
org.jsoup,org.jsoup.HttpStatusException,getStatusCode,()I
org.jsoup,org.jsoup.HttpStatusException,getUrl,()Ljava/lang/String;
org.jsoup,org.jsoup.HttpStatusException,toString,()Ljava/lang/String;
org.jsoup,org.jsoup.Jsoup,parse,(Ljava/net/URL;I)Lorg/jsoup/nodes/Document;
org.jsoup.examples,org.jsoup.examples.HtmlToPlainText,main,([Ljava/lang/String;)V
org.jsoup.examples,org.jsoup.examples.HtmlToPlainText,getPlainText,(Lorg/jsoup/nodes/Element;)Ljava/lang/String;
org.jsoup.examples,org.jsoup.examples.ListLinks,main,([Ljava/lang/String;)V
org.jsoup.examples,org.jsoup.examples.ListLinks,print,(Ljava/lang/String;[Ljava/lang/Object;)V
org.jsoup.examples,org.jsoup.examples.ListLinks,trim,(Ljava/lang/String;I)Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.Document,normalise,()Lorg/jsoup/nodes/Document;
org.jsoup.nodes,org.jsoup.nodes.Document,normaliseTextNodes,(Lorg/jsoup/nodes/Element;)V
org.jsoup.nodes,org.jsoup.nodes.Document,normaliseStructure,(Ljava/lang/String;Lorg/jsoup/nodes/Element;)V
org.jsoup.nodes,org.jsoup.nodes.Attributes,hashCode,()I
org.jsoup.nodes,org.jsoup.nodes.Comment,toString,()Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.Entities,getCharacterByName,(Ljava/lang/String;)Ljava/lang/Character;
org.jsoup.nodes,org.jsoup.nodes.TextNode,outerHtmlTail,(Ljava/lang/Appendable;ILorg/jsoup/nodes/Document$OutputSettings;)V
org.jsoup.nodes,org.jsoup.nodes.TextNode,toString,()Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.TextNode,createFromEncoded,(Ljava/lang/String;Ljava/lang/String;)Lorg/jsoup/nodes/TextNode;
org.jsoup.nodes,org.jsoup.nodes.TextNode,stripLeadingWhitespace,(Ljava/lang/String;)Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.TextNode,attr,(Ljava/lang/String;)Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.TextNode,attributes,()Lorg/jsoup/nodes/Attributes;
org.jsoup.nodes,org.jsoup.nodes.TextNode,hasAttr,(Ljava/lang/String;)Z
org.jsoup.nodes,org.jsoup.nodes.TextNode,removeAttr,(Ljava/lang/String;)Lorg/jsoup/nodes/Node;
org.jsoup.nodes,org.jsoup.nodes.TextNode,absUrl,(Ljava/lang/String;)Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.Node,html,(Ljava/lang/Appendable;)Ljava/lang/Appendable;
org.jsoup.nodes,org.jsoup.nodes.Node,toString,()Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.DataNode,setWholeData,(Ljava/lang/String;)Lorg/jsoup/nodes/DataNode;
org.jsoup.nodes,org.jsoup.nodes.DataNode,toString,()Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.DataNode,createFromEncoded,(Ljava/lang/String;Ljava/lang/String;)Lorg/jsoup/nodes/DataNode;
org.jsoup.nodes,org.jsoup.nodes.XmlDeclaration,toString,()Ljava/lang/String;
org.jsoup.nodes,org.jsoup.nodes.Element,getElementsByAttributeStarting,(Ljava/lang/String;)Lorg/jsoup/select/Elements;
org.jsoup.nodes,org.jsoup.nodes.Element,getElementsByAttributeValueNot,(Ljava/lang/String;Ljava/lang/String;)Lorg/jsoup/select/Elements;
