Package,Class,Method Name,Descriptor
org.apache.lucene.document,org.apache.lucene.document.SortedDocValuesField,newExactQuery,(Ljava/lang/String;Lorg/apache/lucene/util/BytesRef;)Lorg/apache/lucene/search/Query;
org.apache.lucene.document,org.apache.lucene.document.LongRange,getMin,(I)J
org.apache.lucene.document,org.apache.lucene.document.LongRange,getMax,(I)J
org.apache.lucene.document,org.apache.lucene.document.LongRange,toString,()Ljava/lang/String;
org.apache.lucene.document,org.apache.lucene.document.IntRange,getMin,(I)I
org.apache.lucene.document,org.apache.lucene.document.IntRange,getMax,(I)I
org.apache.lucene.document,org.apache.lucene.document.IntRange,toString,()Ljava/lang/String;
org.apache.lucene.document,org.apache.lucene.document.DoubleRange,getMin,(I)D
org.apache.lucene.document,org.apache.lucene.document.DoubleRange,getMax,(I)D
org.apache.lucene.document,org.apache.lucene.document.DoubleRange,toString,()Ljava/lang/String;
org.apache.lucene.document,org.apache.lucene.document.SortedNumericDocValuesField,newExactQuery,(Ljava/lang/String;J)Lorg/apache/lucene/search/Query;
org.apache.lucene.document,org.apache.lucene.document.FloatRange,getMin,(I)F
org.apache.lucene.document,org.apache.lucene.document.FloatRange,getMax,(I)F
org.apache.lucene.document,org.apache.lucene.document.FloatRange,toString,()Ljava/lang/String;
org.apache.lucene.document,org.apache.lucene.document.SortedSetDocValuesField,newExactQuery,(Ljava/lang/String;Lorg/apache/lucene/util/BytesRef;)Lorg/apache/lucene/search/Query;
org.apache.lucene.document,org.apache.lucene.document.CompressionTools,compress,([BII)[B
org.apache.lucene.document,org.apache.lucene.document.CompressionTools,decompress,([B)[B
org.apache.lucene.document,org.apache.lucene.document.CompressionTools,decompressString,([B)Ljava/lang/String;
org.apache.lucene.document,org.apache.lucene.document.NumericDocValuesField,newExactQuery,(Ljava/lang/String;J)Lorg/apache/lucene/search/Query;
org.apache.lucene.util.bkd,org.apache.lucene.util.bkd.BKDReader,visitLeafBlockValues,(Lorg/apache/lucene/util/bkd/BKDReader$IndexTree;Lorg/apache/lucene/util/bkd/BKDReader$IntersectState;)V
org.apache.lucene.util.bkd,org.apache.lucene.util.bkd.BKDReader,isLeafNode,(I)Z
org.apache.lucene.util.bkd,org.apache.lucene.util.bkd.HeapPointWriter,toString,()Ljava/lang/String;
org.apache.lucene.util.bkd,org.apache.lucene.util.bkd.HeapPointReader,writePackedValue,(I[B)V
org.apache.lucene.util.bkd,org.apache.lucene.util.bkd.OfflinePointWriter,toString,()Ljava/lang/String;
org.apache.lucene,org.apache.lucene.LucenePackage,get,()Ljava/lang/Package;
org.apache.lucene.codecs.compressing,org.apache.lucene.codecs.compressing.CompressingTermVectorsReader,getIndexReader,()Lorg/apache/lucene/codecs/compressing/CompressingStoredFieldsIndexReader;
org.apache.lucene.codecs.compressing,org.apache.lucene.codecs.compressing.CompressingTermVectorsReader,getVectorsStream,()Lorg/apache/lucene/store/IndexInput;
org.apache.lucene.codecs.compressing,org.apache.lucene.codecs.compressing.CompressingTermVectorsReader,getMaxPointer,()J
org.apache.lucene.codecs,org.apache.lucene.codecs.Codec,reloadCodecs,(Ljava/lang/ClassLoader;)V
org.apache.lucene.codecs,org.apache.lucene.codecs.PostingsFormat,reloadPostingsFormats,(Ljava/lang/ClassLoader;)V
org.apache.lucene.codecs,org.apache.lucene.codecs.DocValuesFormat,reloadDocValuesFormats,(Ljava/lang/ClassLoader;)V
org.apache.lucene.codecs,org.apache.lucene.codecs.CodecUtil,readIndexHeader,(Lorg/apache/lucene/store/IndexInput;)[B
org.apache.lucene.codecs,org.apache.lucene.codecs.CodecUtil,readFooter,(Lorg/apache/lucene/store/IndexInput;)[B
org.apache.lucene.codecs,org.apache.lucene.codecs.BlockTermState,toString,()Ljava/lang/String;
org.apache.lucene.codecs,org.apache.lucene.codecs.MultiLevelSkipListReader,close,()V
org.apache.lucene.util,org.apache.lucene.util.BitSet,of,(Lorg/apache/lucene/search/DocIdSetIterator;I)Lorg/apache/lucene/util/BitSet;
org.apache.lucene.util,org.apache.lucene.util.PrintStreamInfoStream,close,()V
org.apache.lucene.util,org.apache.lucene.util.PrintStreamInfoStream,isSystemStream,()Z
org.apache.lucene.util,org.apache.lucene.util.SparseFixedBitSet,toString,()Ljava/lang/String;
org.apache.lucene.util,org.apache.lucene.util.BytesRefHash,close,()V
org.apache.lucene.util,org.apache.lucene.util.IntsRefBuilder,copyUTF8Bytes,(Lorg/apache/lucene/util/BytesRef;)V
org.apache.lucene.util,org.apache.lucene.util.IntsRefBuilder,equals,(Ljava/lang/Object;)Z
org.apache.lucene.util,org.apache.lucene.util.IntsRefBuilder,hashCode,()I
org.apache.lucene.util,org.apache.lucene.util.AttributeImpl,reflectAsString,(Z)Ljava/lang/String;
org.apache.lucene.util,org.apache.lucene.util.AttributeImpl,lambda$0,(Ljava/lang/StringBuilder;ZLjava/lang/Class;Ljava/lang/String;Ljava/lang/Object;)V
org.apache.lucene.util,org.apache.lucene.util.IntBlockPool,reset,()V
org.apache.lucene.util,org.apache.lucene.util.SloppyMath,haversinKilometers,(DDDD)D
